,날짜,전월대비 등락률
0,2005-01-31,
1,2005-02-28,8.433579929237693
2,2005-03-31,-4.516690397089074
3,2005-04-30,-4.893960732333691
4,2005-05-31,5.639032251039837
5,2005-06-30,3.9115243091701726
6,2005-07-31,10.694730995080151
7,2005-08-31,-2.925679671678712
8,2005-09-30,12.708962181422104
9,2005-10-31,-5.151472960909419
10,2005-11-30,12.030808817815247
11,2005-12-31,7.07778394376618
12,2006-01-31,0.7601114254248595
13,2006-02-28,-2.017387825664546
14,2006-03-31,-0.8741679364824773
15,2006-04-30,5.5383936451897755
16,2006-05-31,-9.743536134922307
17,2006-06-30,0.004632882656817118
18,2006-07-31,0.20615372736747445
19,2006-08-31,4.231711639518583
20,2006-09-30,1.5878882859973105
21,2006-10-31,-0.7036719011512038
22,2006-11-30,4.9584111978307925
23,2006-12-31,0.2129575970004367
24,2007-01-31,-5.227624263199697
25,2007-02-28,4.1985546561978415
26,2007-03-31,2.976702837710081
27,2007-04-30,5.666892766849605
28,2007-05-31,10.288281979458455
29,2007-06-30,4.14131259149513
30,2007-07-31,9.141050611115821
31,2007-08-31,-3.105101718849409
32,2007-09-30,4.774081270953005
33,2007-10-31,5.20617322321123
34,2007-11-30,-7.693052764123298
35,2007-12-31,-2.757082896117521
36,2008-01-31,-12.342928053090183
37,2008-02-29,5.351207622424097
38,2008-03-31,-0.44577651581541944
39,2008-04-30,7.129149818954337
40,2008-05-31,1.2084559045067815
41,2008-06-30,-9.34274409617164
42,2008-07-31,-4.791273613068086
43,2008-08-31,-11.30265195933955
44,2008-09-30,2.3776362209511874
45,2008-10-31,-23.134400508266232
46,2008-11-30,-4.891021148904826
47,2008-12-31,9.331015850824679
48,2009-01-31,-0.9028857784689861
49,2009-02-28,-11.17223941758578
50,2009-03-31,18.398916382838806
51,2009-04-30,13.52113143103476
52,2009-05-31,3.3402465385289486
53,2009-06-30,-1.7687795915482987
54,2009-07-31,12.029610019639302
55,2009-08-31,2.2192398333001524
56,2009-09-30,5.1066369318717335
57,2009-10-31,-6.816524618382214
58,2009-11-30,-0.22384852702538077
59,2009-12-31,9.034456158395487
60,2010-01-31,-5.288478545403094
61,2010-02-28,0.5403251911057889
62,2010-03-31,4.812645500024767
63,2010-04-30,2.8773961071565726
64,2010-05-31,-5.75977858931073
65,2010-06-30,3.4753998476770733
66,2010-07-31,4.944974062144865
67,2010-08-31,-2.217396915169979
68,2010-09-30,7.46291780232391
69,2010-10-31,2.2388816804694582
70,2010-11-30,-0.5280090247239781
71,2010-12-31,8.68672655581398
72,2011-01-31,-0.016907559128145244
73,2011-02-28,-6.301788155943049
74,2011-03-31,8.631980611560865
75,2011-04-30,5.803389186879965
76,2011-05-31,-3.880284975952921
77,2011-06-30,-1.950085648807206
78,2011-07-31,3.4093559735134593
79,2011-08-31,-13.451118855043712
80,2011-09-30,-5.875188153884603
81,2011-10-31,7.876133698753985
82,2011-11-30,-3.222579006092098
83,2011-12-31,-1.1442427916493063
84,2012-01-31,7.086187355245656
85,2012-02-29,3.807157210129924
86,2012-03-31,-0.047284817140748
87,2012-04-30,-2.3308644895505304
88,2012-05-31,-6.9889353629433035
89,2012-06-30,0.4437284034999248
90,2012-07-31,1.6385386007074727
91,2012-08-31,1.229018220075552
92,2012-09-30,4.771877886957256
93,2012-10-31,-4.206850598437901
94,2012-11-30,1.0899239563612098
95,2012-12-31,5.080449066169994
96,2013-01-31,-3.4050514499532203
97,2013-02-28,3.2901108086893562
98,2013-03-31,-1.5050654086622683
99,2013-04-30,-1.60521846301835
100,2013-05-31,1.8890501285674233
101,2013-06-30,-7.262187351640385
102,2013-07-31,3.1416208176836045
103,2013-08-31,0.563209563068498
104,2013-09-30,3.7484219221637507
105,2013-10-31,1.6590217130037597
106,2013-11-30,0.03398864089769688
107,2013-12-31,-3.1313091521484315
108,2014-01-31,-2.4008865437502234
109,2014-02-28,3.126627638075792
110,2014-03-31,0.2838398173728095
111,2014-04-30,-1.1996313475455873
112,2014-05-31,2.0496587300373657
113,2014-06-30,0.010489510489512306
114,2014-07-31,3.6914209798172943
115,2014-08-31,-0.3978575419532476
116,2014-09-30,-2.3101177062277043
117,2014-10-31,-2.7553227826482907
118,2014-11-30,0.04021522782689959
119,2014-12-31,-1.9733159646248244
120,2015-01-31,1.3620979630821624
121,2015-02-28,2.259970911772532
122,2015-03-31,2.2145321788252277
123,2015-04-30,4.2204181222226085
124,2015-05-31,-1.1658682662880815
125,2015-06-30,-1.3399163800853358
126,2015-07-31,-2.123228232571581
127,2015-08-31,-4.367636048390278
128,2015-09-30,1.0981256663696406
129,2015-10-31,3.6901177393634668
130,2015-11-30,-2.1260391894813377
131,2015-12-31,-3.6752561534561283
132,2016-01-31,0.3158289728783144
133,2016-02-29,-0.42393574464104977
134,2016-03-31,4.1316665449271035
135,2016-04-30,-0.8868401934012986
136,2016-05-31,0.26539948942193464
137,2016-06-30,-0.6579610769385994
138,2016-07-31,3.007587484457076
139,2016-08-31,0.24832356955278065
140,2016-09-30,0.4413535497505722
141,2016-10-31,-1.7341691010603706
142,2016-11-30,-1.2304612611356514
143,2016-12-31,2.15177365035191
144,2017-01-31,2.043767520827579
145,2017-02-28,1.1641685650304323
146,2017-03-31,3.279244994358501
147,2017-04-30,2.751558861787868
148,2017-05-31,5.753557961318576
149,2017-06-30,1.8918964973715313
150,2017-07-31,0.45656182189908284
151,2017-08-31,-1.6448094027160989
152,2017-09-30,2.9883335660695876
153,2017-10-31,3.6822923728639414
154,2017-11-30,-1.8649219514708135
155,2017-12-31,0.13245193569620858
156,2018-01-31,3.5008973040550053
157,2018-02-28,-5.419916928376048
158,2018-03-31,0.69210994660865
159,2018-04-30,2.913884524744708
160,2018-05-31,-3.672208572859762
161,2018-06-30,-6.251315512523689
162,2018-07-31,1.044225503402989
163,2018-08-31,1.2033495116021666
164,2018-09-30,0.6888001102080176
165,2018-10-31,-13.219575181283352
166,2018-11-30,3.309372367208789
167,2018-12-31,-4.142384327041391
168,2019-01-31,9.694029850746265
169,2019-02-28,-0.4267864027031251
170,2019-03-31,-1.2371096454469197
171,2019-04-30,1.6284797166417595
172,2019-05-31,-7.344832750194008
173,2019-06-30,4.310049271699618
174,2019-07-31,-4.939100547484662
175,2019-08-31,-2.7344348126744165
176,2019-09-30,4.766426804929952
177,2019-10-31,0.9902813795109103
178,2019-11-30,0.4050914815597008
179,2019-12-31,3.9795976901602352
180,2020-01-31,-2.581867164405534
181,2020-02-29,-5.497850411276974
182,2020-03-31,-12.377965653105347
183,2020-04-30,8.020448639037054
184,2020-05-31,8.953924563541685
185,2020-06-30,2.094349855695663
186,2020-07-31,6.689654845304101
187,2020-08-31,3.4142893343469587
188,2020-09-30,1.3683436722165587
189,2020-10-31,-2.4529262086514056
190,2020-11-30,12.659119365609362
191,2020-12-31,13.62654070866809
192,2021-01-31,3.8064833839936285
193,2021-02-28,-0.41419518211829454
194,2021-03-31,0.5765686445216183
195,2021-04-30,2.82352633745125
196,2021-05-31,1.7808924157999384
197,2021-06-30,2.8952033758645586
198,2021-07-31,-2.233762451921323
199,2021-08-31,-0.737502482128673
200,2021-09-30,-4.077492678017167
201,2021-10-31,-2.9288130291121703
202,2021-11-30,-4.697308438572104
203,2021-12-31,5.275078284331501
204,2022-01-31,-9.40018803721932
205,2022-02-28,-0.31907586176334934
206,2022-03-31,2.1662134426010957
